content_id,creator_id,category,duration_seconds,upload_timestamp,virality_score,trend_score,content_type
C000161,CR0562,finance,151,2025-08-01,1.15,0.49,clip
C000162,CR0911,finance,128,2025-06-28,1.26,0.11,meme_video
C000163,CR0432,memes,21,2025-02-22,1.28,0.55,edit
C000164,CR0928,gaming,179,2025-08-10,0.94,0.93,clip
C000165,CR0182,sports,50,2025-11-12,1.16,0.99,edit
C000166,CR0028,anime,36,2025-05-24,4.73,0.91,meme_video
C000167,CR0076,memes,28,2026-03-01,3.17,0.72,meme_video
C000168,CR0623,sports,62,2026-01-05,0.26,0.19,edit
C000169,CR0708,memes,20,2025-06-25,9.61,0.09,edit
C000170,CR0227,music,33,2025-04-04,0.56,0.78,short_video
C000171,CR0990,fitness,88,2026-02-18,1.14,0.38,meme_video
C000172,CR0063,sports,58,2025-05-15,1.2,1.0,clip
C000173,CR0585,anime,72,2025-10-27,0.68,0.71,clip
C000174,CR0600,food,26,2026-03-26,1.56,0.26,meme_video
C000175,CR0821,anime,45,2025-06-04,0.33,0.08,short_video
C000176,CR0034,finance,125,2025-07-13,10.0,0.63,edit
C000177,CR0587,gaming,73,2025-03-14,0.27,0.58,clip
C000178,CR0428,anime,108,2025-07-08,6.78,0.19,clip
C000179,CR0464,finance,42,2025-11-03,0.87,0.22,edit
C000180,CR0014,memes,24,2026-02-07,4.78,0.08,short_video
C000181,CR0696,memes,20,2025-02-06,10.0,0.07,edit
C000182,CR0145,fitness,77,2026-01-16,1.18,0.19,short_video
C000183,CR0373,gaming,93,2025-05-01,2.08,0.11,edit
C000184,CR0942,fitness,50,2026-04-27,3.0,0.94,clip
C000185,CR0196,memes,12,2025-09-27,4.97,0.01,short_video
C000186,CR0541,finance,168,2025-03-17,1.3,0.5,meme_video
C000187,CR0902,sports,84,2025-07-09,2.63,0.74,meme_video
C000188,CR0767,memes,27,2025-11-02,2.73,0.52,edit
C000189,CR0178,food,82,2025-04-28,0.33,0.72,edit
C000190,CR0304,memes,28,2025-08-26,6.07,0.58,edit
C000191,CR0048,tech,226,2025-02-26,1.1,0.31,clip
C000192,CR0493,music,60,2025-01-28,6.65,0.9,meme_video
C000193,CR0300,fitness,107,2025-02-21,0.96,0.34,edit
C000194,CR0342,food,27,2025-03-08,2.95,0.12,short_video
C000195,CR0957,food,47,2025-09-12,0.46,0.16,short_video
C000196,CR0588,tech,161,2025-02-14,9.41,0.02,short_video
C000197,CR0439,gaming,54,2026-03-03,1.97,0.9,short_video
C000198,CR0583,gaming,57,2026-01-04,0.9,0.64,edit
C000199,CR0890,anime,74,2025-03-23,2.59,0.51,edit
C000200,CR0487,anime,85,2025-05-29,3.84,0.72,clip
C000201,CR0987,sports,40,2025-11-01,0.46,0.98,short_video
C000202,CR0910,fitness,45,2025-06-06,4.51,0.76,edit
C000203,CR0158,memes,15,2025-11-16,3.05,0.96,meme_video
C000204,CR0643,music,48,2025-11-15,0.43,0.73,meme_video
C000205,CR0271,finance,110,2026-02-18,0.67,0.26,meme_video
C000206,CR0882,finance,101,2026-01-18,1.39,0.98,meme_video
C000207,CR0793,tech,133,2025-10-25,5.1,0.62,clip
C000208,CR0711,anime,103,2025-06-10,1.06,0.85,short_video
C000209,CR0113,memes,22,2025-07-02,1.65,0.43,clip
C000210,CR0279,anime,83,2025-12-10,4.75,0.6,edit
C000211,CR0289,gaming,180,2025-05-29,7.94,0.13,short_video
C000212,CR0530,food,76,2025-03-29,4.85,0.69,short_video
C000213,CR0409,fitness,65,2025-08-10,2.99,0.59,clip
C000214,CR0851,food,86,2026-01-08,4.02,0.16,short_video
C000215,CR0031,anime,102,2025-11-16,5.04,0.22,short_video
C000216,CR0987,music,30,2025-05-16,5.75,0.89,short_video
C000217,CR0320,food,19,2025-05-26,3.74,0.41,meme_video
C000218,CR0984,finance,84,2025-02-10,4.03,0.45,short_video
C000219,CR0314,gaming,106,2026-04-18,1.31,0.05,clip
C000220,CR0118,music,58,2025-08-29,1.58,0.27,meme_video
C000221,CR0383,finance,31,2025-05-14,1.42,0.64,meme_video
C000222,CR0113,food,72,2025-01-18,1.86,0.99,edit
C000223,CR0936,music,21,2025-12-25,4.81,0.19,short_video
C000224,CR0020,tech,219,2025-07-20,7.3,0.54,clip
C000225,CR0955,music,36,2025-12-23,2.86,0.57,meme_video
C000226,CR0246,music,52,2025-09-02,0.87,0.06,meme_video
C000227,CR0295,music,38,2025-07-08,2.25,0.49,edit
C000228,CR0357,fitness,20,2025-12-19,0.61,0.31,meme_video
C000229,CR0825,memes,30,2025-02-13,3.13,0.86,short_video
C000230,CR0923,music,52,2025-08-29,1.94,0.73,meme_video
C000231,CR0767,anime,117,2025-12-07,3.33,0.98,short_video
C000232,CR0693,memes,6,2025-03-08,1.62,0.53,meme_video
C000233,CR0691,anime,42,2025-09-19,1.03,0.81,short_video
C000234,CR0484,anime,29,2025-09-29,2.09,0.63,clip
C000235,CR0987,finance,138,2025-01-21,0.22,0.57,meme_video
C000236,CR0801,tech,124,2025-10-30,1.06,0.22,clip
C000237,CR0914,sports,20,2025-03-02,1.34,0.22,meme_video
C000238,CR0325,music,18,2025-10-03,1.61,0.95,edit
C000239,CR0303,anime,67,2025-04-26,1.46,0.61,clip
C000240,CR0280,gaming,60,2025-04-09,4.07,0.47,clip
C000241,CR0517,gaming,76,2026-02-03,3.24,0.58,edit
C000242,CR0495,anime,55,2025-04-14,10.0,0.82,clip
C000243,CR0174,memes,7,2025-06-26,0.38,0.43,edit
C000244,CR0957,fitness,76,2025-11-26,5.78,0.51,clip
C000245,CR0459,music,24,2025-06-21,6.97,0.73,edit
C000246,CR0336,fitness,85,2025-05-10,1.72,0.17,meme_video
C000247,CR0401,gaming,174,2025-09-21,3.7,0.99,short_video
C000248,CR0087,music,40,2025-07-29,3.55,0.68,short_video
C000249,CR0054,gaming,138,2025-03-06,2.2,0.49,clip
C000250,CR0907,tech,62,2026-04-06,3.29,0.03,short_video
C000251,CR0174,finance,67,2026-01-20,2.69,0.05,clip
C000252,CR0068,fitness,66,2025-02-14,2.45,0.39,meme_video
C000253,CR0053,fitness,116,2025-07-18,1.11,0.1,edit
C000254,CR0735,tech,113,2025-11-27,4.28,0.3,short_video
C000255,CR0771,sports,71,2026-04-13,1.14,0.45,meme_video
C000256,CR0559,anime,53,2025-02-02,0.4,0.78,clip
C000257,CR0429,sports,79,2025-10-17,3.75,0.16,edit
C000258,CR0275,tech,116,2025-05-07,2.42,0.26,clip
C000259,CR0556,sports,42,2025-06-11,0.44,0.01,edit
C000260,CR0112,fitness,84,2026-03-09,0.43,0.32,short_video
C000261,CR0181,anime,48,2025-10-13,0.72,0.92,clip
C000262,CR0299,memes,23,2025-08-16,2.5,0.66,short_video
C000263,CR0487,music,39,2026-02-24,2.44,0.22,short_video
C000264,CR0940,memes,8,2025-04-14,0.78,0.14,clip
C000265,CR0299,finance,134,2025-04-08,0.52,0.07,edit
C000266,CR0507,gaming,110,2025-02-03,1.42,0.81,edit
C000267,CR0878,music,57,2026-02-10,0.73,0.61,meme_video
C000268,CR0081,music,46,2025-05-11,3.05,0.28,meme_video
C000269,CR0020,tech,140,2025-03-03,2.84,0.42,short_video
C000270,CR0348,anime,68,2025-04-28,0.55,0.44,meme_video
C000271,CR0584,sports,85,2025-03-15,0.49,0.41,edit
C000272,CR0114,memes,19,2025-08-22,0.96,0.55,short_video
C000273,CR0740,fitness,81,2025-07-09,1.27,0.99,short_video
C000274,CR0367,food,49,2025-10-05,2.05,0.57,short_video
C000275,CR0132,food,72,2025-01-29,1.0,0.05,meme_video
C000276,CR0334,memes,12,2025-05-08,6.5,0.4,short_video
C000277,CR0304,gaming,119,2025-04-16,3.33,0.55,clip
C000278,CR0532,anime,117,2025-05-31,5.79,0.26,short_video
C000279,CR0773,music,41,2025-05-21,0.44,0.42,meme_video
C000280,CR0148,finance,165,2025-01-03,1.63,0.06,clip
C000281,CR0655,fitness,73,2025-11-01,4.23,0.66,edit
C000282,CR0908,fitness,34,2025-04-30,10.0,0.02,edit
C000283,CR0848,anime,86,2025-10-03,1.03,0.16,meme_video
C000284,CR0889,gaming,127,2025-01-11,0.73,0.55,clip
C000285,CR0381,memes,13,2026-04-15,2.46,0.13,clip
C000286,CR0191,food,27,2026-02-12,0.9,0.94,short_video
C000287,CR0938,finance,60,2025-04-02,2.01,0.44,edit
C000288,CR0079,sports,56,2026-03-11,3.41,0.01,meme_video
C000289,CR0580,finance,133,2025-12-03,3.55,0.93,edit
C000290,CR0016,finance,44,2025-07-08,1.38,0.76,short_video
C000291,CR0899,gaming,33,2025-05-21,1.77,0.99,clip
C000292,CR0337,sports,27,2025-05-18,4.15,0.9,clip
C000293,CR0845,food,79,2025-04-08,8.21,0.62,short_video
C000294,CR0056,gaming,163,2026-02-21,3.05,0.3,meme_video
C000295,CR0507,memes,11,2026-02-17,0.83,0.28,edit
C000296,CR0036,tech,103,2025-07-28,0.92,0.22,edit
C000297,CR0590,music,39,2025-03-17,0.45,0.86,clip
C000298,CR0159,memes,27,2025-01-11,2.77,0.37,meme_video
C000299,CR0321,tech,189,2026-02-28,4.6,0.8,short_video
C000300,CR0301,fitness,110,2026-01-26,1.3,0.3,clip
C000301,CR0824,anime,74,2025-06-14,3.71,0.4,clip
C000302,CR0448,tech,191,2025-05-15,6.81,0.63,short_video
C000303,CR0565,anime,84,2025-01-25,0.9,0.73,short_video
C000304,CR0799,tech,117,2025-07-11,3.1,0.99,short_video
C000305,CR0590,finance,90,2025-03-23,0.68,0.99,short_video
C000306,CR0545,sports,42,2026-03-15,3.38,0.67,edit
C000307,CR0100,sports,43,2026-01-27,2.21,0.19,meme_video
C000308,CR0612,music,15,2025-08-14,8.89,0.28,clip
C000309,CR0430,food,53,2026-05-01,0.5,0.77,edit
C000310,CR0727,fitness,70,2025-10-25,2.93,0.25,edit
C000311,CR0809,sports,54,2025-01-22,0.74,0.48,short_video
C000312,CR0296,tech,156,2025-03-24,0.32,0.76,meme_video
C000313,CR0209,tech,217,2025-12-02,0.59,0.85,short_video
C000314,CR0860,finance,104,2026-02-11,10.0,0.9,short_video
C000315,CR0240,music,50,2025-11-04,1.79,0.45,short_video
C000316,CR0983,memes,15,2025-07-27,4.11,0.79,meme_video
C000317,CR0653,tech,44,2025-11-04,1.05,0.45,edit
C000318,CR0474,tech,220,2025-06-14,1.38,0.79,short_video
C000319,CR0155,anime,117,2025-11-28,4.16,0.31,edit
C000320,CR0142,fitness,112,2025-06-26,3.97,0.68,edit
C000321,CR0241,tech,70,2025-11-12,3.15,0.44,short_video
C000322,CR0002,fitness,44,2025-04-09,5.99,0.02,meme_video
C000323,CR0256,music,30,2025-10-15,0.46,0.77,clip
C000324,CR0609,food,87,2025-05-26,1.31,0.09,edit
C000325,CR0530,finance,176,2025-11-07,0.66,0.66,edit
C000326,CR0721,fitness,65,2025-11-20,2.58,0.8,short_video
C000327,CR0116,music,27,2025-12-05,4.04,0.39,edit
C000328,CR0512,anime,81,2025-03-06,3.31,0.34,edit
C000329,CR0840,gaming,31,2025-07-24,0.25,0.43,edit
C000330,CR0140,tech,232,2026-03-10,2.86,0.59,short_video
C000331,CR0841,gaming,119,2026-04-15,0.39,0.91,meme_video
C000332,CR0914,anime,86,2025-11-05,0.42,0.3,short_video
C000333,CR0396,finance,114,2026-03-23,3.93,0.29,clip
C000334,CR0044,sports,53,2025-08-30,3.25,0.62,clip
C000335,CR0754,tech,212,2026-04-04,1.85,0.68,short_video
C000336,CR0893,sports,46,2025-12-17,0.1,0.22,edit
C000337,CR0695,fitness,116,2026-01-29,2.2,0.91,meme_video
C000338,CR0286,gaming,138,2026-03-06,10.0,0.43,meme_video
C000339,CR0291,food,26,2025-05-04,2.45,0.02,short_video
C000340,CR0573,finance,47,2026-01-01,2.43,0.24,clip
C000341,CR0371,tech,74,2025-02-13,6.04,0.89,meme_video
C000342,CR0886,food,28,2025-10-22,2.53,0.98,clip
C000343,CR0022,gaming,152,2026-02-06,4.69,0.89,edit
C000344,CR0901,sports,80,2025-08-19,1.98,0.19,short_video
C000345,CR0566,tech,129,2025-05-23,3.31,0.85,short_video
C000346,CR0265,sports,44,2025-03-08,0.66,0.85,clip
C000347,CR0314,gaming,83,2025-10-01,10.0,0.25,meme_video
C000348,CR0363,food,63,2026-03-15,0.71,0.31,edit
C000349,CR0853,sports,90,2025-12-25,6.32,0.78,short_video
C000350,CR0347,gaming,125,2025-03-31,0.84,0.66,meme_video
C000351,CR0776,sports,24,2025-12-28,1.68,0.42,clip
C000352,CR0714,food,71,2025-02-18,0.75,0.03,short_video
C000353,CR0973,tech,87,2025-12-20,3.78,0.48,clip
C000354,CR0943,music,41,2025-01-08,0.34,0.16,clip
C000355,CR0018,finance,134,2025-10-31,1.18,0.19,clip
C000356,CR0227,anime,105,2025-02-14,4.81,0.59,edit
C000357,CR0474,tech,33,2025-12-07,1.81,0.32,edit
C000358,CR0598,anime,110,2025-02-15,0.11,0.87,short_video
C000359,CR0533,sports,35,2025-12-20,0.7,0.72,edit
C000360,CR0100,music,53,2025-06-18,2.88,0.5,meme_video
C000361,CR0607,sports,61,2025-12-10,1.2,0.86,short_video
C000362,CR0738,music,21,2025-12-22,0.54,0.54,clip
C000363,CR0973,food,87,2026-01-31,6.55,0.04,short_video
C000364,CR0711,food,45,2026-03-27,1.18,0.93,short_video
C000365,CR0402,fitness,27,2025-04-01,1.03,0.24,edit
C000366,CR0293,finance,170,2025-12-02,0.22,0.12,short_video
C000367,CR0441,fitness,61,2025-12-12,0.53,0.32,edit
C000368,CR0258,anime,58,2025-12-20,1.05,0.33,meme_video
C000369,CR0092,sports,58,2026-02-21,10.0,0.16,short_video
C000370,CR0711,food,59,2025-05-14,1.79,0.07,meme_video
C000371,CR0720,gaming,56,2025-11-18,4.59,0.97,meme_video
C000372,CR0865,finance,106,2026-02-27,4.06,0.11,clip
C000373,CR0645,finance,33,2025-04-20,5.19,0.08,clip
C000374,CR0956,fitness,53,2025-02-28,6.07,0.94,short_video
C000375,CR0466,food,40,2025-08-16,7.95,0.33,edit
C000376,CR0634,memes,25,2025-12-07,1.26,0.96,clip
C000377,CR0730,fitness,71,2026-02-13,2.15,0.48,short_video
C000378,CR0816,fitness,69,2026-01-02,0.58,0.61,clip
C000379,CR0172,food,20,2026-04-26,1.53,0.22,clip
C000380,CR0022,fitness,44,2026-02-24,0.94,0.79,clip
C000381,CR0557,gaming,74,2025-07-30,2.66,0.56,meme_video
C000382,CR0540,fitness,58,2025-03-28,0.83,0.1,meme_video
C000383,CR0049,sports,51,2026-03-09,2.9,0.32,clip
C000384,CR0884,food,84,2025-11-05,0.62,0.8,edit
C000385,CR0217,gaming,85,2026-04-29,10.0,0.86,meme_video
C000386,CR0493,music,32,2025-10-08,7.29,0.45,edit
C000387,CR0309,sports,67,2025-08-02,1.33,0.89,clip
C000388,CR0007,finance,145,2025-02-16,0.96,0.1,clip
C000389,CR0310,gaming,64,2026-02-06,0.3,0.89,clip
C000390,CR0569,sports,89,2026-02-19,1.13,0.75,edit
C000391,CR0396,sports,21,2025-07-23,1.62,0.7,meme_video
C000392,CR0035,fitness,45,2025-10-02,2.05,0.79,meme_video
C000393,CR0952,anime,43,2025-01-01,1.42,0.2,short_video
C000394,CR0030,tech,178,2025-11-25,1.53,0.75,clip
C000395,CR0888,memes,28,2025-08-15,5.36,0.37,short_video
C000396,CR0575,sports,70,2025-06-21,10.0,0.49,short_video
C000397,CR0805,fitness,29,2025-09-28,1.11,0.37,edit
C000398,CR0991,fitness,81,2025-07-29,1.16,0.07,short_video
C000399,CR0904,memes,25,2025-09-11,1.57,0.51,edit
C000400,CR0579,food,70,2025-09-03,0.74,0.09,short_video
C000401,CR0190,anime,42,2025-11-09,3.23,0.27,clip
C000402,CR0436,fitness,46,2026-01-09,5.02,0.44,meme_video
C000403,CR0674,anime,45,2025-10-10,1.69,0.01,clip
C000404,CR0808,sports,85,2025-03-19,6.82,0.79,short_video
C000405,CR0268,tech,108,2025-09-08,5.06,0.02,short_video
C000406,CR0151,tech,32,2026-03-24,3.26,0.13,clip
C000407,CR0916,anime,64,2025-09-15,0.61,0.68,short_video
C000408,CR0090,gaming,153,2025-05-14,3.12,0.26,meme_video
C000409,CR0026,music,59,2026-04-14,1.55,0.46,clip
C000410,CR0426,anime,120,2025-10-27,1.55,0.04,edit
C000411,CR0018,tech,66,2025-11-23,10.0,0.19,clip
C000412,CR0908,food,38,2025-02-17,1.37,0.91,short_video
C000413,CR0328,fitness,26,2026-02-05,0.18,0.7,edit
C000414,CR0494,gaming,122,2026-02-14,2.07,0.02,short_video
C000415,CR0033,tech,116,2026-03-29,0.55,0.42,meme_video
C000416,CR0827,fitness,41,2025-10-06,2.57,0.93,clip
C000417,CR0088,gaming,53,2026-03-06,0.7,0.96,short_video
C000418,CR0590,sports,54,2025-11-08,6.99,0.88,edit
C000419,CR0930,tech,123,2025-08-06,1.45,0.84,short_video
C000420,CR0380,music,21,2025-02-21,0.89,0.07,clip
C000421,CR0701,memes,12,2025-11-11,1.12,0.94,edit
C000422,CR0661,sports,20,2026-02-16,0.3,0.93,clip
C000423,CR0902,food,47,2025-12-15,2.84,0.29,short_video
C000424,CR0649,anime,47,2025-11-16,4.01,0.45,clip
C000425,CR0235,tech,153,2025-03-02,3.7,0.28,short_video
